feature,importance
vote_count,0.2827229949928415
budget_million,0.2137499544243338
runtime,0.17897510996967583
vote_average,0.1540574724036771
revenue_million,0.10141984696002204
release_year,0.06907462124944978
main_genre_Unknown,0.0
